,Cosines
0,Cosine Similarity Kalimat 14 : 15= 0.16410082965612127
1,Cosine Similarity Kalimat 15 : 16= 0.12352874835085638
2,Cosine Similarity Kalimat 6 : 8= 0.26499211825790286
3,Cosine Similarity Kalimat 24 : 25= 0.2838582438538861
4,Cosine Similarity Kalimat 11 : 13= 0.15444481732440343
5,Cosine Similarity Kalimat 15 : 16= 0.11643523969560923
6,Cosine Similarity Kalimat 13 : 16= 0.08379415496443296
7,Cosine Similarity Kalimat 13 : 14= 0.1988527707723687
8,Cosine Similarity Kalimat 13 : 14= 0.15981010319498165
9,Cosine Similarity Kalimat 12 : 13= 0.16902329988808748
10,Cosine Similarity Kalimat 17 : 19= 0.12330223187494932
11,Cosine Similarity Kalimat 16 : 17= 0.08641969502123836
12,Cosine Similarity Kalimat 13 : 14= 0.13050809292561288
13,Cosine Similarity Kalimat 16 : 17= 0.15531401518165106
14,Cosine Similarity Kalimat 20 : 21= 0.23317215450825812
15,Cosine Similarity Kalimat 16 : 17= 0.17043479078929002
16,Cosine Similarity Kalimat 15 : 16= 0.13137095397209084
17,Cosine Similarity Kalimat 11 : 12= 0.19890667420374114
18,Cosine Similarity Kalimat 14 : 16= 0.18250388192991338
19,Cosine Similarity Kalimat 16 : 17= 0.10045139962446772
20,Cosine Similarity Kalimat 14 : 15= 0.1492362737534963
21,Cosine Similarity Kalimat 18 : 19= 0.19296311666413263
22,Cosine Similarity Kalimat 15 : 16= 0.2300333357049614
23,Cosine Similarity Kalimat 20 : 22= 0.08864451427435385
24,Cosine Similarity Kalimat 20 : 21= 0.2994912839639234
25,Cosine Similarity Kalimat 19 : 20= 0.09735062197095858
26,Cosine Similarity Kalimat 18 : 19= 0.1959305722179868
27,Cosine Similarity Kalimat 16 : 17= 0.11525640289968082
28,Cosine Similarity Kalimat 13 : 14= 0.10454475981415186
29,Cosine Similarity Kalimat 15 : 16= 0.14980514103709477
30,Cosine Similarity Kalimat 15 : 19= 0.12086999143036001
31,Cosine Similarity Kalimat 11 : 12= 0.12665304636588118
32,Cosine Similarity Kalimat 17 : 18= 0.100671935537313
33,Cosine Similarity Kalimat 14 : 15= 0.15916334731357767
34,Cosine Similarity Kalimat 17 : 18= 0.12323151040712416
35,Cosine Similarity Kalimat 12 : 14= 0.08375575522521247
36,Cosine Similarity Kalimat 9 : 11= 0.1808279805929623
37,Cosine Similarity Kalimat 14 : 15= 0.1418115195707762
38,Cosine Similarity Kalimat 13 : 14= 0.15467003885661723
39,Cosine Similarity Kalimat 12 : 13= 0.1035382483546616
40,Cosine Similarity Kalimat 14 : 15= 0.14111227904641438
41,Cosine Similarity Kalimat 21 : 22= 0.08824137520776446
42,Cosine Similarity Kalimat 15 : 16= 0.09094774313639933
43,Cosine Similarity Kalimat 12 : 13= 0.21319533043003
44,Cosine Similarity Kalimat 17 : 18= 0.18002908078769064
45,Cosine Similarity Kalimat 12 : 13= 0.1722069504707438
46,Cosine Similarity Kalimat 16 : 17= 0.1725892466502249
47,Cosine Similarity Kalimat 13 : 14= 0.09593671934496305
48,Cosine Similarity Kalimat 20 : 21= 0.09161467711581939
49,Cosine Similarity Kalimat 14 : 15= 0.1294751552224721
50,Cosine Similarity Kalimat 12 : 13= 0.10279960110498221
51,Cosine Similarity Kalimat 22 : 23= 0.2519416375372586
52,Cosine Similarity Kalimat 16 : 17= 0.1771000806785488
53,Cosine Similarity Kalimat 15 : 16= 0.3239549769587386
54,Cosine Similarity Kalimat 17 : 18= 0.41007934074408525
55,Cosine Similarity Kalimat 13 : 14= 0.21988099501222294
56,Cosine Similarity Kalimat 22 : 23= 0.2494398362048031
57,Cosine Similarity Kalimat 17 : 18= 0.23164478831261018
58,Cosine Similarity Kalimat 31 : 32= 0.08801803356152149
59,Cosine Similarity Kalimat 13 : 14= 0.08350291271923377
60,Cosine Similarity Kalimat 20 : 21= 0.15361554474890446
61,Cosine Similarity Kalimat 13 : 14= 0.24764883536849924
62,Cosine Similarity Kalimat 17 : 19= 0.09523580234265863
63,Cosine Similarity Kalimat 24 : 25= 0.1508893524929484
64,Cosine Similarity Kalimat 16 : 17= 0.34379124168524233
65,Cosine Similarity Kalimat 12 : 13= 0.1660347421209429
66,Cosine Similarity Kalimat 12 : 13= 0.0994374983553709
67,Cosine Similarity Kalimat 18 : 19= 0.08415606890266464
68,Cosine Similarity Kalimat 15 : 16= 0.10011999767067545
69,Cosine Similarity Kalimat 18 : 20= 0.126917438271961
70,Cosine Similarity Kalimat 10 : 11= 0.09603440367771958
71,Cosine Similarity Kalimat 16 : 17= 0.14016324357453255
72,Cosine Similarity Kalimat 13 : 15= 0.17866128625475258
73,Cosine Similarity Kalimat 12 : 15= 0.10607596427033941
74,Cosine Similarity Kalimat 15 : 17= 0.15944234687928102
75,Cosine Similarity Kalimat 16 : 18= 0.09448537114742939
76,Cosine Similarity Kalimat 17 : 19= 0.20429560247903805
77,Cosine Similarity Kalimat 14 : 15= 0.2400469275275583
78,Cosine Similarity Kalimat 13 : 15= 0.22338192336462787
