,Closenes
0,Closenes Centrality Node 10 = 0.22499999999999998
1,Closenes Centrality Node 13 = 0.32679738562091504
2,Closenes Centrality Node 8 = 0.8571428571428571
3,Closenes Centrality Node 24 = 0.08
4,Closenes Centrality Node 10 = 0.17361111111111113
5,Closenes Centrality Node 9 = 0.0625
6,Closenes Centrality Node 7 = 0.0
7,Closenes Centrality Node 14 = 0.36734693877551017
8,Closenes Centrality Node 14 = 0.6086956521739131
9,Closenes Centrality Node 13 = 0.46153846153846156
10,Closenes Centrality Node 19 = 0.3557168784029038
11,Closenes Centrality Node 17 = 0.48576850094876656
12,Closenes Centrality Node 13 = 0.5401785714285714
13,Closenes Centrality Node 16 = 0.4411764705882353
14,Closenes Centrality Node 13 = 0.35714285714285715
15,Closenes Centrality Node 8 = 0.058823529411764705
16,Closenes Centrality Node 15 = 0.6114130434782609
17,Closenes Centrality Node 5 = 0.0
18,Closenes Centrality Node 6 = 0.0625
19,Closenes Centrality Node 16 = 0.35714285714285715
20,Closenes Centrality Node 12 = 0.39542483660130723
21,Closenes Centrality Node 12 = 0.35380116959064334
22,Closenes Centrality Node 6 = 0.17647058823529413
23,Closenes Centrality Node 19 = 0.4745484400656814
24,Closenes Centrality Node 20 = 0.2474747474747475
25,Closenes Centrality Node 16 = 0.2619047619047619
26,Closenes Centrality Node 18 = 0.43269230769230765
27,Closenes Centrality Node 16 = 0.4563894523326572
28,Closenes Centrality Node 12 = 0.43636363636363634
29,Closenes Centrality Node 14 = 0.42013888888888895
30,Closenes Centrality Node 7 = 0.19838056680161942
31,Closenes Centrality Node 6 = 0.08333333333333333
32,Closenes Centrality Node 13 = 0.39999999999999997
33,Closenes Centrality Node 13 = 0.0
34,Closenes Centrality Node 17 = 0.4429065743944637
35,Closenes Centrality Node 14 = 0.6493506493506493
36,Closenes Centrality Node 6 = 0.0
37,Closenes Centrality Node 5 = 0.0
38,Closenes Centrality Node 12 = 0.41666666666666663
39,Closenes Centrality Node 8 = 0.09523809523809523
40,Closenes Centrality Node 9 = 0.30476190476190473
41,Closenes Centrality Node 22 = 0.2403846153846154
42,Closenes Centrality Node 13 = 0.3850267379679144
43,Closenes Centrality Node 7 = 0.2692307692307692
44,Closenes Centrality Node 10 = 0.0
45,Closenes Centrality Node 9 = 0.30476190476190473
46,Closenes Centrality Node 12 = 0.36828644501278773
47,Closenes Centrality Node 13 = 0.38095238095238093
48,Closenes Centrality Node 6 = 0.0
49,Closenes Centrality Node 6 = 0.21818181818181817
50,Closenes Centrality Node 13 = 0.5538461538461539
51,Closenes Centrality Node 12 = 0.0
52,Closenes Centrality Node 7 = 0.0
53,Closenes Centrality Node 17 = 0.14705882352941177
54,Closenes Centrality Node 17 = 0.21834625322997414
55,Closenes Centrality Node 9 = 0.38095238095238093
56,Closenes Centrality Node 13 = 0.0
57,Closenes Centrality Node 12 = 0.0
58,Closenes Centrality Node 18 = 0.0
59,Closenes Centrality Node 12 = 0.2784090909090909
60,Closenes Centrality Node 13 = 0.0857142857142857
61,Closenes Centrality Node 7 = 0.06666666666666667
62,Closenes Centrality Node 16 = 0.3962848297213622
63,Closenes Centrality Node 23 = 0.17285714285714285
64,Closenes Centrality Node 16 = 0.5490196078431372
65,Closenes Centrality Node 10 = 0.5128205128205128
66,Closenes Centrality Node 14 = 0.43214285714285716
67,Closenes Centrality Node 5 = 0.0
68,Closenes Centrality Node 17 = 0.45187165775401067
69,Closenes Centrality Node 19 = 0.3657142857142857
70,Closenes Centrality Node 7 = 0.08333333333333333
71,Closenes Centrality Node 17 = 0.307797537619699
72,Closenes Centrality Node 14 = 0.6222222222222222
73,Closenes Centrality Node 11 = 0.28985507246376807
74,Closenes Centrality Node 16 = 0.13445378151260504
75,Closenes Centrality Node 12 = 0.2688888888888889
76,Closenes Centrality Node 8 = 0.0
77,Closenes Centrality Node 13 = 0.20833333333333331
78,Closenes Centrality Node 15 = 0.384
79,Closenes Centrality Node 13 = 0.35588235294117654
80,Closenes Centrality Node 13 = 0.0
81,Closenes Centrality Node 17 = 0.5
82,Closenes Centrality Node 12 = 0.4816053511705686
83,Closenes Centrality Node 14 = 0.5681159420289855
84,Closenes Centrality Node 14 = 0.2976190476190476
85,Closenes Centrality Node 17 = 0.0
86,Closenes Centrality Node 6 = 0.3636363636363636
87,Closenes Centrality Node 17 = 0.4609250398724083
88,Closenes Centrality Node 11 = 0.3401360544217687
89,Closenes Centrality Node 16 = 0.3820662768031189
90,Closenes Centrality Node 14 = 0.45714285714285713
91,Closenes Centrality Node 15 = 0.41728395061728396
92,Closenes Centrality Node 12 = 0.24543610547667344
93,Closenes Centrality Node 15 = 0.49000000000000005
94,Closenes Centrality Node 16 = 0.4849137931034483
95,Closenes Centrality Node 14 = 0.5029761904761905
96,Closenes Centrality Node 11 = 0.44814814814814813
97,Closenes Centrality Node 5 = 0.0
98,Closenes Centrality Node 20 = 0.4017857142857143
99,Closenes Centrality Node 16 = 0.2857142857142857
100,Closenes Centrality Node 14 = 0.5294117647058824
101,Closenes Centrality Node 14 = 0.33531746031746035
102,Closenes Centrality Node 15 = 0.5052631578947369
103,Closenes Centrality Node 8 = 0.24
104,Closenes Centrality Node 15 = 0.46875
105,Closenes Centrality Node 13 = 0.37037037037037035
106,Closenes Centrality Node 15 = 0.390625
107,Closenes Centrality Node 12 = 0.3141025641025641
108,Closenes Centrality Node 6 = 0.22321428571428573
109,Closenes Centrality Node 14 = 0.41142857142857137
110,Closenes Centrality Node 10 = 0.33749999999999997
111,Closenes Centrality Node 8 = 0.3636363636363636
112,Closenes Centrality Node 7 = 0.0
113,Closenes Centrality Node 11 = 0.48484848484848486
114,Closenes Centrality Node 15 = 0.44814814814814813
115,Closenes Centrality Node 7 = 0.0
116,Closenes Centrality Node 16 = 0.5925925925925926
117,Closenes Centrality Node 11 = 0.36231884057971014
118,Closenes Centrality Node 17 = 0.38496240601503756
119,Closenes Centrality Node 10 = 0.23684210526315788
120,Closenes Centrality Node 14 = 0.5833333333333334
121,Closenes Centrality Node 16 = 0.6392045454545454
122,Closenes Centrality Node 12 = 0.5647058823529413
123,Closenes Centrality Node 15 = 0.3176470588235294
124,Closenes Centrality Node 11 = 0.44814814814814813
125,Closenes Centrality Node 13 = 0.0
126,Closenes Centrality Node 17 = 0.4901960784313726
127,Closenes Centrality Node 18 = 0.33733133433283363
128,Closenes Centrality Node 6 = 0.0
129,Closenes Centrality Node 16 = 0.5192697768762677
130,Closenes Centrality Node 11 = 0.3176470588235294
131,Closenes Centrality Node 11 = 0.3282051282051282
132,Closenes Centrality Node 9 = 0.3665158371040724
133,Closenes Centrality Node 17 = 0.24019607843137256
134,Closenes Centrality Node 16 = 0.32579185520362
135,Closenes Centrality Node 15 = 0.6521739130434783
136,Closenes Centrality Node 11 = 0.16289592760181
137,Closenes Centrality Node 6 = 0.18367346938775508
138,Closenes Centrality Node 7 = 0.37692307692307686
139,Closenes Centrality Node 15 = 0.2545454545454546
140,Closenes Centrality Node 13 = 0.41142857142857137
141,Closenes Centrality Node 20 = 0.4821428571428571
142,Closenes Centrality Node 4 = 0.0
143,Closenes Centrality Node 15 = 0.48
144,Closenes Centrality Node 9 = 0.28994082840236685
145,Closenes Centrality Node 9 = 0.0
146,Closenes Centrality Node 13 = 0.5413533834586466
147,Closenes Centrality Node 13 = 0.47265625
148,Closenes Centrality Node 14 = 0.2094017094017094
149,Closenes Centrality Node 11 = 0.37593984962406013
150,Closenes Centrality Node 10 = 0.0
151,Closenes Centrality Node 13 = 0.5365079365079365
152,Closenes Centrality Node 10 = 0.32679738562091504
153,Closenes Centrality Node 5 = 0.0
154,Closenes Centrality Node 7 = 0.34265734265734266
155,Closenes Centrality Node 13 = 0.2784090909090909
156,Closenes Centrality Node 14 = 0.2847058823529412
157,Closenes Centrality Node 16 = 0.4611764705882353
158,Closenes Centrality Node 13 = 0.3841269841269841
159,Closenes Centrality Node 15 = 0.0
160,Closenes Centrality Node 12 = 0.26298701298701305
161,Closenes Centrality Node 8 = 0.0
162,Closenes Centrality Node 9 = 0.21176470588235294
163,Closenes Centrality Node 14 = 0.28125
