title;name;publishedAtDate;stars;text;;;;;;;;;;;;;
Sembilan Beach;Rizky Ramadhana;2023-10-11T18:26:30.856Z;5;Pertama ketempat ini bawa mobil dari surabaya ke sumenep parkir di pemukiman warga yg mengarah ke pantai sembilan biaya parkir 10ribu terus nyebrang per orang sekitar 20rb kalo engga 10rb (lupa) dan jangan lupa bawa pancing lautnya bagus banget dan jangan lupa bawa sunblok soalnya panas banget . Awas makelar bos hahahaa;;;;;;;;;;;;;
Sembilan Beach;Abdus Sukur;2023-10-02T11:53:11.751Z;5;Pantai ini cukup bgus cuma infrastrukturx kurang bangaus banyakx sampah terutama di tempat wisatax masih kurang bersih;;;;;;;;;;;;;
Sembilan Beach;MOH HAIRUL;2023-09-29T04:08:51.771Z;5;bagus bgt wisatanya;;;;;;;;;;;;;
Sembilan Beach;Aina Lee;2023-09-25T22:50:07.049Z;5;Pantainya bersih tenang cocok buat healing menghindari keramaian kota.;;;;;;;;;;;;;
Sembilan Beach;Nurimama Tuss;2023-09-13T09:41:30.219Z;5;Pantai nya bagus kalo weekday sepi. Enak berasa pantai pribadi. Cuman akses nya belom bagus. Buat yang traveling individu harus nunggu perahu nya penuh baru berangkat.jadi gada jam keberangkatan. Bisa nunggu lama di pelabuhan nya;;;;;;;;;;;;;
Sembilan Beach;Alfin Zayn;2023-09-09T03:55:59.521Z;5;"Pantai nya bagus, air nya jernih dan bersih, asri dan alami. Nyaman buat bersantai atau liburan bersama keluarga ataupun temanı...""";;;;;;;;;;;;;
Sembilan Beach;Habiburrahman Habiburrahman;2023-09-03T07:32:09.839Z;4;Cukup bagus dibanding beberapa pantai Madura yang sudah mulai rusak. Pantai 9 jadi salah satu yang masih terawat saat ini. Minimal kamar mandi penginapan dan kebersihan cukup terjaga. Fasilitas MCK dan musholla lumayan bersih dan layak. Akses dari pelabuhan juga mudah dan dekat.;;;;;;;;;;;;;
Sembilan Beach;Chacha Oktaviana;2023-08-27T05:43:58.605Z;5;Pasir putih ada villa gazebo yang layak;;;;;;;;;;;;;
Sembilan Beach;ahzai rz;2023-08-02T10:00:11.139Z;5;Sempurna dan mewah;;;;;;;;;;;;;
Sembilan Beach;wahyu hari;2023-08-02T01:34:41.683Z;5;Pantai Pulau Sembilan membutuhkan waktu kurang lebih 30 m3nit dari Pulau MAdura dari Pelabuhan Tanjung Saronggi Sumenep. naik kapal dengan biaya 15 rb. Pantai bersih dengan laut yang biru terdapat toko cemilan dengan harga terjangkau;;;;;;;;;;;;;
Sembilan Beach;riski setia bhakti;2023-07-25T10:42:43.083Z;5;Tempat wisata ini bagus dan masih sepi dan bersih;;;;;;;;;;;;;
Sembilan Beach;Ahmad Fauzi;2023-07-09T21:24:53.449Z;5;"Pantai yang terletak di pulau madura, tepatnya di Kab. Sumenep, kecamatan gili Genting ini cukup eksotik. Jika anda berkesempatan untuk wisata ke Madura, maka sebaiknya menyempatkan datang juga ke Pulau yang terdiri dari 4 Desa ini. Tidak mengecewakan tentunya. Mau bukti datanglah sendiri dan buktikan keindahannya.""";;;;;;;;;;;;;
Sembilan Beach;Hambali Bachtiar;2023-07-08T12:28:52.930Z;5;"Pantai masih bersih walaupun tidak terlalu besar. Akses kesana juga tidak sulit, Ada ojek yang bisa mengantar sampai ke pelabuhan.. Bagi yang gak punya kendaraan, pake bis bisa, lanjut pake ojek. Pantai  nya keren adek-adek pada seneng ????""";;;;;;;;;;;;;
Sembilan Beach;Richa Muthaharoh;2023-07-06T11:49:03.756Z;4;Bagus cm fasilitas banyak yg tak terawat puas banget.pantainya bersih;;;;;;;;;;;;;
Sembilan Beach;Litta Helmi;2023-07-04T06:45:23.700Z;5;Jauh2 dari kota Kediri datang ke pantai sembilan airnya biru jernih.;;;;;;;;;;;;;
Sembilan Beach;Rahmat Hidayat;2023-07-02T06:51:08.013Z;5;Tempat yang bagus untuk wisata keluarga;;;;;;;;;;;;;
Sembilan Beach;Moh. Syaifa Hamidillah HK21 030;2023-06-27T01:46:30.126Z;5;Pantai yang cocok untuk berwisata sekeluarga;;;;;;;;;;;;;
Sembilan Beach;Rofi'atul Chusna;2023-06-23T18:42:08.075Z;5;Pantainya bersih;;;;;;;;;;;;;
Sembilan Beach;Andhi Prio Nugroho;2023-06-18T05:47:39.320Z;5;tempat dengan kadar oksigen tertinggi kedua di dunia;;;;;;;;;;;;;
Sembilan Beach;Budi Rismanto;2023-06-17T16:15:33.316Z;1;"Bagus sekali. Saya baru saja pulang dari pantai sembilan""";;;;;;;;;;;;;
Sembilan Beach;Naufal El Fany;2023-06-15T17:18:11.151Z;4;Mungkin kebersihannya perlu dijaga lagi  terutama bagi pengunjung;;;;;;;;;;;;;
Sembilan Beach;Sony 29;2023-06-11T13:28:06.394Z;5;Mantap jiwa..keren tempat nyaa;;;;;;;;;;;;;
Sembilan Beach;Abdul Aziz;2023-06-06T08:10:01.222Z;5;Surga tersembunyi di ujung pulau madura. Biaya masuk murah;;;;;;;;;;;;;
